"","Site","Year","Mean","Cdd_seas","Cdd_seasfall","Cdd_july","siteyear","elevation","period","Cdd_siteave","Cdd_july_siteave"
"1","A1",1958,11.9136141304348,761.436503110418,NA,210.682767307683,"A11958",2195,"initial",327.278218732165,96.3026083672151
"2","A1",1959,12.0489402173913,751.815084657184,NA,241.140511048288,"A11959",2195,"initial",322.724605547163,112.740245906919
"3","A1",1960,11.8755163043478,683.425161806224,NA,227.651008620822,"A11960",2195,"initial",332.042919673951,118.22908139922
"4","A1",2006,13.2716304347826,822.346304085865,NA,262.972590746069,"A12006",2195,"resurvey",453.195291548438,156.758858619003
"5","A1",2007,13.7919293478261,871.248337214546,NA,276.393093460433,"A12007",2195,"resurvey",482.511330481894,171.845339464654
"6","A1",2008,11.6611956521739,698.34084887619,NA,258.898915072722,"A12008",2195,"resurvey",443.326397083935,184.048351471126
"7","A1",2009,11.7639892665871,546.664954599874,NA,172.398446130538,"A12009",2195,"resurvey",333.80029008503,119.514388106097
"8","A1",2010,11.8872171893009,612.275385572065,NA,212.627203156122,"A12010",2195,"resurvey",368.393096636885,143.691857502535
"9","A1",2011,12.6032280920245,670.055077593507,NA,220.758441746355,"A12011",2195,"resurvey",399.803176665022,133.44291658597
"10","A1",2012,NA,NA,NA,0,"A12012",2195,"resurvey",471.127534023384,138.23006454216
"11","A1",2013,20.1117,NA,NA,251.116923100004,"A12013",2195,"resurvey",373.542094148883,114.794609718035
"12","A1",2014,12.4117391304348,689.069018791983,NA,253.080874820181,"A12014",2195,"resurvey",357.526669376315,144.874053977792
"13","A1",2015,NA,NA,NA,0,"A12015",2195,"resurvey",384.546002573052,109.732617822016
"14","B1",1958,9.17279891304348,477.197222211177,NA,136.570412167417,"B11958",2591,"initial",327.278218732165,96.3026083672151
"15","B1",1959,9.34366847826087,467.129090452093,NA,162.322118656017,"B11959",2591,"initial",322.724605547163,112.740245906919
"16","B1",1960,9.60464673913043,468.923306666612,NA,167.249779452776,"B11960",2591,"initial",332.042919673951,118.22908139922
"17","B1",2006,11.1006793478261,617.536246554048,NA,204.250414386852,"B12006",2591,"resurvey",453.195291548438,156.758858619003
"18","B1",2007,11.6922010869565,632.522071579283,NA,216.697405040003,"B12007",2591,"resurvey",482.511330481894,171.845339464654
"19","B1",2008,10.0301630434783,596.627471636255,NA,237.383262793504,"B12008",2591,"resurvey",443.326397083935,184.048351471126
"20","B1",2009,10.2211130069103,450.717095208585,543.601433149507,150.734361249476,"B12009",2591,"resurvey",333.80029008503,119.514388106097
"21","B1",2010,10.5730770531712,491.165195253965,NA,192.470707006766,"B12010",2591,"resurvey",368.393096636885,143.691857502535
"22","B1",2011,10.970625,545.380601427286,NA,179.41803611225,"B12011",2591,"resurvey",399.803176665022,133.44291658597
"23","B1",2012,12.597432073019,663.23803837522,NA,190.763328049726,"B12012",2591,"resurvey",471.127534023384,138.23006454216
"24","B1",2013,10.2031983695652,567.820889823854,NA,175.023281698769,"B12013",2591,"resurvey",373.542094148883,114.794609718035
"25","B1",2014,10.2715706521739,492.43447552701,NA,195.323273287181,"B12014",2591,"resurvey",357.526669376315,144.874053977792
"26","B1",2015,10.9946086956522,524.839971450119,NA,150.32340002271,"B12015",2591,"resurvey",384.546002573052,109.732617822016
"27","C1",1958,4.59782608695652,177.359215253154,NA,56.0348045670131,"C11958",3048,"initial",327.278218732165,96.3026083672151
"28","C1",1959,5.01358695652174,178.320120642233,NA,63.1583731578208,"C11959",3048,"initial",322.724605547163,112.740245906919
"29","C1",1960,5.75,195.16253268129,NA,69.2083833456634,"C11960",3048,"initial",332.042919673951,118.22908139922
"30","C1",2006,7.0679347826087,288.854336542828,NA,109.267302851153,"C12006",3048,"resurvey",453.195291548438,156.758858619003
"31","C1",2007,8.22372934736956,332.500589384506,NA,126.993273889306,"C12007",3048,"resurvey",482.511330481894,171.845339464654
"32","C1",2008,6.08942783815217,290.025322531616,NA,130.713440148747,"C12008",3048,"resurvey",443.326397083935,184.048351471126
"33","C1",2009,5.70380434782609,216.883484961476,NA,88.2944149627183,"C12009",3048,"resurvey",333.80029008503,119.514388106097
"34","C1",2010,5.6820652173913,245.620998019805,NA,94.9130079983034,"C12010",3048,"resurvey",368.393096636885,143.691857502535
"35","C1",2011,5.92663043478261,254.225751902758,NA,87.4677970596904,"C12011",3048,"resurvey",399.803176665022,133.44291658597
"36","C1",2012,7.17391304347826,279.017029671547,NA,85.6968010345948,"C12012",3048,"resurvey",471.127534023384,138.23006454216
"37","C1",2013,4.08288043478261,179.263298473912,NA,54.5659377373021,"C12013",3048,"resurvey",373.542094148883,114.794609718035
"38","C1",2014,6.5741847826087,222.61886322562,NA,94.4248346684037,"C12014",3048,"resurvey",357.526669376315,144.874053977792
"39","C1",2015,7.40884510869565,244.252033695986,322.553651200789,69.1418356213226,"C12015",3048,"resurvey",384.546002573052,109.732617822016
"40","CHA",1958,15.2679619565217,1112.21214991659,NA,293.640959180424,"CHA1958",1752,"initial",327.278218732165,96.3026083672151
"41","CHA",1959,15.1639130434783,1033.96082289355,NA,293.130334393858,"CHA1959",1752,"initial",322.724605547163,112.740245906919
"42","CHA",1960,16.07875,1160.14864748529,NA,345.422330915483,"CHA1960",1752,"initial",332.042919673951,118.22908139922
"43","CHA",2006,16.4570652173913,1208.25947859901,NA,353.695184202612,"CHA2006",1752,"resurvey",453.195291548438,156.758858619003
"44","CHA",2007,16.2536413043478,1138.65072955812,NA,363.011403410819,"CHA2007",1752,"resurvey",482.511330481894,171.845339464654
"45","CHA",2008,14.8538858695652,988.613668778523,NA,357.854631111078,"CHA2008",1752,"resurvey",443.326397083935,184.048351471126
"46","CHA",2009,14.929015700519,920.070333255036,NA,268.636335410054,"CHA2009",1752,"resurvey",333.80029008503,119.514388106097
"47","CHA",2010,15.2188375604239,1006.88526672816,NA,321.256481673016,"CHA2010",1752,"resurvey",368.393096636885,143.691857502535
"48","CHA",2011,15.9148128022391,1084.64392767411,NA,341.301696747152,"CHA2011",1752,"resurvey",399.803176665022,133.44291658597
"49","CHA",2012,18.0015489130435,1336.29855305547,NA,367.48,"CHA2012",1752,"resurvey",471.127534023384,138.23006454216
"50","CHA",2013,15.2039402173913,1082.65002430634,NA,313.018036655127,"CHA2013",1752,"resurvey",373.542094148883,114.794609718035
